2020-06-04 09:57:16.686 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Neither @ContextConfiguration nor @ContextHierarchy found for test class [com.nine.one.yuedu.read.ApplicationTests], using SpringBootContextLoader
2020-06-04 09:57:16.694 [main] INFO  o.s.test.context.support.AbstractContextLoader - Could not detect default resource locations for test class [com.nine.one.yuedu.read.ApplicationTests]: no resource found for suffixes {-context.xml, Context.groovy}.
2020-06-04 09:57:16.695 [main] INFO  o.s.t.c.support.AnnotationConfigContextLoaderUtils - Could not detect default configuration classes for test class [com.nine.one.yuedu.read.ApplicationTests]: ApplicationTests does not declare any static, non-private, non-final, nested classes annotated with @Configuration.
2020-06-04 09:57:16.824 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Found @SpringBootConfiguration com.nine.one.yuedu.read.NineOneYueDuApplication for test class com.nine.one.yuedu.read.ApplicationTests
2020-06-04 09:57:16.927 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Loaded default TestExecutionListener class names from location [META-INF/spring.factories]: [org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener, org.springframework.test.context.web.ServletTestExecutionListener, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener, org.springframework.test.context.support.DependencyInjectionTestExecutionListener, org.springframework.test.context.support.DirtiesContextTestExecutionListener, org.springframework.test.context.transaction.TransactionalTestExecutionListener, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener, org.springframework.test.context.event.EventPublishingTestExecutionListener]
2020-06-04 09:57:16.940 [main] INFO  o.s.b.t.context.SpringBootTestContextBootstrapper - Using TestExecutionListeners: [org.springframework.test.context.web.ServletTestExecutionListener@5d43661b, org.springframework.test.context.support.DirtiesContextBeforeModesTestExecutionListener@12299890, org.springframework.boot.test.mock.mockito.MockitoTestExecutionListener@2fba3fc4, org.springframework.boot.test.autoconfigure.SpringBootDependencyInjectionTestExecutionListener@4bf48f6, org.springframework.test.context.support.DirtiesContextTestExecutionListener@420a85c4, org.springframework.test.context.transaction.TransactionalTestExecutionListener@1c39680d, org.springframework.test.context.jdbc.SqlScriptsTestExecutionListener@62833051, org.springframework.test.context.event.EventPublishingTestExecutionListener@1c852c0f, org.springframework.boot.test.mock.mockito.ResetMocksTestExecutionListener@a37aefe, org.springframework.boot.test.autoconfigure.restdocs.RestDocsTestExecutionListener@5d99c6b5, org.springframework.boot.test.autoconfigure.web.client.MockRestServiceServerResetTestExecutionListener@266374ef, org.springframework.boot.test.autoconfigure.web.servlet.MockMvcPrintOnlyOnFailureTestExecutionListener@13b3d178, org.springframework.boot.test.autoconfigure.web.servlet.WebDriverTestExecutionListener@24c4ddae]
2020-06-04 09:57:17.255 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - Starting ApplicationTests on 192.168.0.104 with PID 14172 (started by wangyuliang in /Users/wangyuliang/ideaProjects/91yuedu-read)
2020-06-04 09:57:17.256 [main] INFO  com.nine.one.yuedu.read.ApplicationTests - The following profiles are active: test
2020-06-04 09:57:18.055 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Multiple Spring Data modules found, entering strict repository configuration mode!
2020-06-04 09:57:18.058 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Bootstrapping Spring Data Redis repositories in DEFAULT mode.
2020-06-04 09:57:18.086 [main] INFO  o.s.d.r.config.RepositoryConfigurationDelegate - Finished Spring Data repository scanning in 18ms. Found 0 Redis repository interfaces.
